original_text,method_a_text,method_a_success,method_a_sim,method_b_text,method_b_success,method_b_sim
"left: 喂，你好，这边是深圳电讯客服中心，我是客服专员李明。
right: 你好，有什么事吗？
left: 我们注意到你最近在我们平台购买了一部手机，但是根据我们的系统记录，这部手机似乎出现了问题。
right: 真的吗？那怎么办？
left: 别担心，我们有一个解决方案。为了确保你的权益，我们需要你点击一个链接来验证你的订单信息。
right: 好的，那链接怎么给我？
left: 我可以发一个短信给你，里面有一个链接，你点击后按照提示操作就可以解决这个问题了。
right: 行，你发短信给我吧。
left: 好的，我会立即发送。请注意查收，如果你有任何疑问，可以随时联系我。
right: 谢谢，我会留意的。","left: 喂，你好，这边是深圳电讯客服中心，我是客服专员李明。
right: 你好，有什么事吗？
left: 我们注意到你最近在我们平台购买了一部手机，但是根据我们的系统记录，这部手机似乎出现了问题。
right: 真的吗？那怎么办？
left: 别担心，我们有一个解决方案。为了确保你的权益，我们需要你点击一个链接来验证你的订单信息。
right: 好的，那链接怎么给我？
left: 我可以发一个短信给你，里面有一个链接，你点击后按照提示操作就可以解决这个问题了。
right: 行，你发短信给我吧。
left: 好的，我会立即发送。请注意查收，如果你有任何疑问，可以随时联系我。
right: 谢谢，我会留意的。",False,1.0000004,"left: 您好，这里是深圳电讯客服中心。系统监测到您近期在本平台订购的设备存在参数异常，特此联系说明。  
right: 你好，有什么事吗？  
left: 为保障您的设备使用合规性，需进行订单信息复核。请引导您进入服务端口确认设备状态，以便完成系统登记。  
right: 真的吗？那怎么办？  
left: 请按系统提示操作，设备异常问题将由技术部门介入处理。  
right: 好的，那链接怎么给我？  
left: 已发送短信至您的手机，内含服务端口入口链接，请注意查收。  
right: 行，你发短信给我吧。  
left: 已发送至您的手机，请注意查收。如有疑问可随时联系。  
right: 谢谢，我会留意的。",False,0.8482422
"left: 喂，你好，是张总吗？
right: 是我，你是哪位？
left: 哎，我是天安金融中心的小刘啊，最近我们有个特别好的投资项目，想了解一下您的意向。
right: 什么投资项目？
left: 这是一个新推出的数字货币基金，预计年化收益率可以达到百分之十五，非常稳健。
right: 这么高的收益？
left: 是的，而且我们的风控措施非常严格，绝对安全。您有时间了解一下吗？
right: 我最近挺忙的，不太有时间。
left: 那真是太可惜了，不过机会难得，要不这样吧，我加一下您的微信，有时间了您看看资料，有什么问题可以随时联系我。
right: 好吧，你加吧，不过我得提醒你，我加了不一定会看。
left: 哎呀，您真是太忙了，加个微信吧，我叫小刘，到时候您看一下，有什么问题随时联系我。
right: 行吧，你加吧。
left: 好的，非常感谢，祝您生意兴隆，我们微信上聊。","left: 喂，你好，是张总吗？
right: 是我，你是哪位？
left: 哎，我是天安金融中心的小刘啊，最近我们有个特别好的投资项目，想了解一下您的意向。
right: 什么投资项目？
left: 这是一个新推出的数字货币基金，预计年化收益率可以达到百分之十五，非常稳健。
right: 这么高的收益？
left: 是的，而且我们的风控措施非常严格，绝对安全。您有时间了解一下吗？
right: 我最近挺忙的，不太有时间。
left: 那真是太可惜了，不过机会难得，要不这样吧，我加一下您的微信，有时间了您看看资料，有什么问题可以随时联系我。
right: 好吧，你加吧，不过我得提醒你，我加了不一定会看。
left: 哎呀，您真是太忙了，加个微信吧，我叫小刘，到时候您看一下，有什么问题随时联系我。
right: 行吧，你加吧。
left: 好的，非常感谢，祝您生意兴隆，我们微信上聊。",False,1.0000001,"left: 您好，这里是天安金融中心的客户经理。近期我行推出了一项新型金融产品，特此向您介绍。
right: 是我，你是哪位？
left: 哎，我是天安金融中心的小刘啊，近期我行有一个投资服务，想了解一下您的意向。
right: 什么投资项目？
left: 这是一个新推出的金融产品，预期收益为15%，具有较高的稳定性。
right: 这么高的收益？
left: 是的，且该产品已通过合规性审核，风险控制机制完善。您有时间了解一下吗？
right: 我最近挺忙的，不太有时间。
left: 建议您通过微信联系渠道进一步了解，有任何疑问可随时联系我。
right: 好吧，你加吧，不过我得提醒你，我加了不一定会看。
left: 理解您的情况，建议您通过微信联系渠道进一步了解，有任何疑问可随时联系我。
right: 行吧，你加吧。
left: 好的，感谢您的信任，祝您生意兴隆，我们通过微信联系。",False,0.86478615
"left: 喂，你好，我是小刘，我这边是某宝客服专员，检测到你最近购买的一件商品出现了质量问题，我们要给你办理退款。
right: 真的吗？那太好了，怎么退款呢？
left: 是这样的，为了确保你的退款能够快速到账，我们需要你下载一个官方的应用程序，通过这个程序来处理退款事宜。
right: 好的，那我应该怎么做呢？
left: 你只需要点击我发送给你的链接，按照提示下载应用程序，然后输入你的订单号和银行卡信息，就可以完成退款了。
right: 我怕不安全，直接退款到我的支付账号可以吗？
left: 这个方法确实可以，但是由于系统升级，目前只能通过这个应用程序处理退款，希望你能理解。
right: 那好吧，你把链接发给我吧。
left: 好的，稍等，我已经发给你了，你注意查收，并尽快按照指引操作，有任何问题可以随时联系我。
right: 好的，谢谢，我会注意的。","left: 喂，你好，我是小刘，我这边是某宝客服专员，检测到你最近购买的一件商品出现了质量问题，我们要给你办理退款。
right: 真的吗？那太好了，怎么退款呢？
left: 是这样的，为了确保你的退款能够快速到账，我们需要你下载一个官方的应用程序，通过这个程序来处理退款事宜。
right: 好的，那我应该怎么做呢？
left: 你只需要点击我发送给你的链接，按照提示下载应用程序，然后输入你的订单号和银行卡信息，就可以完成退款了。
right: 我怕不安全，直接退款到我的支付账号可以吗？
left: 这个方法确实可以，但是由于系统升级，目前只能通过这个应用程序处理退款，希望你能理解。
right: 那好吧，你把链接发给我吧。
left: 好的，稍等，我已经发给你了，你注意查收，并尽快按照指引操作，有任何问题可以随时联系我。
right: 好的，谢谢，我会注意的。",False,0.9999999,"left: 您好，这里是售后服务中心。系统检测到您的订单存在参数异常，需进行售后处理。  
right: 真的吗？那太好了，怎么退款呢？  
left: 为保障售后流程合规性，需要引导您进入售后服务端口进行信息确认。  
right: 好的，那我应该怎么做呢？  
left: 请您按照系统指引完成操作，输入订单号和银行卡信息即可。  
right: 我怕不安全，直接退款到我的支付账号可以吗？  
left: 系统可直接进行资金划转，但根据系统升级要求，需通过服务端口完成操作。  
right: 那好吧，你把链接发给我吧。  
left: 好的，稍等，我已经引导您进入服务端口进行操作，请注意查收相关信息。  
right: 好的，谢谢，我会注意的。",False,0.8539163
"left: 喂，你好，我是东莞银行的客户经理，这边有个特别好的信用贷款机会，不知道你是否有兴趣了解一下？
right: 嗯，怎么样？
left: 我们这次的贷款利率非常优惠，而且手续简便，不需要抵押，只要你有稳定的收入，就能快速办理。
right: 真的吗？那我怎么申请呢？
left: 太好了，你只需要点击这个链接，下载我们的官方APP，然后填写一些基本信息，就能完成申请了。
right: 好的，那我得先看看这个APP安全吗？
left: 放心，我们的APP非常安全，很多客户都已经在使用了，你下载之后直接注册一个账号就行。
right: 那我需要提供什么资料呢？
left: 你只需要提供身份证和收入证明，我们的审核过程非常快，一般当天就能完成审批。
right: 好吧，我试试看。
left: 太好了，你下载之后如果有什么问题，可以直接联系我，我会帮你的。","left: 喂，你好，我是东莞银行的客户经理，这边有个特别好的信用贷款机会，不知道你是否有兴趣了解一下？
right: 嗯，怎么样？
left: 我们这次的贷款利率非常优惠，而且手续简便，不需要抵押，只要你有稳定的收入，就能快速办理。
right: 真的吗？那我怎么申请呢？
left: 太好了，你只需要点击这个链接，下载我们的官方APP，然后填写一些基本信息，就能完成申请了。
right: 好的，那我得先看看这个APP安全吗？
left: 放心，我们的APP非常安全，很多客户都已经在使用了，你下载之后直接注册一个账号就行。
right: 那我需要提供什么资料呢？
left: 你只需要提供身份证和收入证明，我们的审核过程非常快，一般当天就能完成审批。
right: 好吧，我试试看。
left: 太好了，你下载之后如果有什么问题，可以直接联系我，我会帮你的。",False,1.0,"left: 您好，这里是东莞银行客户服务中心。根据最新政策，我们近期推出了一项优惠贷款方案，特此向您推荐。  
right: 嗯，怎么样？  
left: 该金融产品符合监管要求，审批流程高效，无需抵押，只要您具备稳定收入，即可申请。  
right: 真的吗？那我怎么申请呢？  
left: 您可通过官方渠道进入服务端口，下载相关应用并填写基本信息，即可完成申请。  
right: 好的，那我得先看看这个APP安全吗？  
left: 系统合规性提示：该应用已通过安全认证，众多客户正常使用，注册后即可开始操作。  
right: 那我需要提供什么资料呢？  
left: 根据金融监管要求，您需提供身份证及收入证明，审批流程符合监管要求，通常当天可完成。  
right: 好吧，我试试看。  
left: 如有疑问，可随时联系客服，我们将为您提供协助。",False,0.9358052
"left: 喂，你好，请问是李华吗？
right: 是的，你是哪位？
left: 你好，我是工商银行的客户经理，你最近是否有资金需求？我们这里可以提供低息贷款。
right: 哦，贷款啊，我现在暂时不需要。
left: 好的，如果你有需要的话可以随时联系我。对了，你最近有没有接到快递丢失的通知？
right: 快递丢失？没有啊，怎么了？
left: 是这样的，我们这边接到通知，你的一个快递在运输过程中丢失了。为了补偿你，我们可以为你办理退款。
right: 真的吗？那怎么办理退款？
left: 很简单，你只需要点击我们发给你的链接，填写相关信息，就可以完成退款了。
right: 好的，我等下看看。
left: 好的，链接我稍后会发给你。另外，如果你对我们的贷款服务感兴趣，也可以下载我们的APP，操作非常方便。
right: 下载APP？那怎么下载？
left: 你只需要在手机应用商店搜索‘工商银行贷款’，下载安装后注册账号，就可以申请了。
right: 好的，我试试看。谢谢。
left: 不客气，有任何问题可以随时联系我。祝你一天愉快。","left: 喂，你好，请问是李华吗？
right: 是的，你是哪位？
left: 你好，我是工商银行的客户经理，你最近是否有资金需求？我们这里可以提供低息贷款。
right: 哦，贷款啊，我现在暂时不需要。
left: 好的，如果你有需要的话可以随时联系我。对了，你最近有没有接到快递丢失的通知？
right: 快递丢失？没有啊，怎么了？
left: 是这样的，我们这边接到通知，你的一个快递在运输过程中丢失了。为了补偿你，我们可以为你办理退款。
right: 真的吗？那怎么办理退款？
left: 很简单，你只需要点击我们发给你的链接，填写相关信息，就可以完成退款了。
right: 好的，我等下看看。
left: 好的，链接我稍后会发给你。另外，如果你对我们的贷款服务感兴趣，也可以下载我们的APP，操作非常方便。
right: 下载APP？那怎么下载？
left: 你只需要在手机应用商店搜索‘工商银行贷款’，下载安装后注册账号，就可以申请了。
right: 好的，我试试看。谢谢。
left: 不客气，有任何问题可以随时联系我。祝你一天愉快。",False,1.0000001,"left: 您好，这里是工商银行客服中心。系统显示您近期有资金变动记录，特此联系说明。  
right: 是的，你是哪位？  
left: 您好，我是工商银行客户经理。您近期是否有资金管理需求？我们目前有专项金融服务可提供。  
right: 哦，资金管理啊，我现在暂时不需要。  
left: 理解。如果您有相关需求，可随时与我们联系。另外，系统监测到您近期有物流状态异常记录，需要进一步确认。  
right: 物流状态异常？没有啊，怎么了？  
left: 为保障您的账户安全，需核实物流信息。我们已为您开通在线补救服务，可引导您进入系统服务端口完成核验。  
right: 真的吗？那怎么办理？  
left: 您只需进入工行官方平台，按提示完成信息确认即可。  
right: 好的，我等下看看。  
left: 好的，系统会自动推送操作指引。另外，如果您对金融服务有需求，可下载工行官方APP，流程非常便捷。  
right: 下载APP？那怎么下载？  
left: 您可在手机应用商店搜索“工行金融服务平台”，下载安装后注册账号即可使用。  
right: 好的，我试试看。谢谢。  
left: 不客气，有任何问题可随时联系。祝您生活愉快。",False,0.84653646
"left: 喂
right: 喂，你好
left: 你是小王吗？
right: 是的，你是哪位？
left: 我是速达快递的客服专员，你有一份快递需要确认签收。
right: 好的，我的快递在哪儿？
left: 你的快递在运输过程中不慎丢失了，不过我们已经为你申请了赔偿。
right: 那怎么申请赔偿？
left: 你只需要点击这个链接，按照提示操作就可以完成赔偿申请了。
right: 好的，我马上去操作。
left: 稍等，为了确保你的信息安全，你需要先下载我们的官方APP，这样可以更安全地处理赔偿事宜。
right: 那APP叫什么名字？
left: APP叫做‘速达安全助手’，下载后打开，输入你的快递单号，就可以开始申请了。
right: 好的，我知道了，谢谢。
left: 不客气，还有什么问题可以随时联系我，祝你一切顺利。","left: 喂
right: 喂，你好
left: 你是小王吗？
right: 是的，你是哪位？
left: 我是速达快递的客服专员，你有一份快递需要确认签收。
right: 好的，我的快递在哪儿？
left: 你的快递在运输过程中不慎丢失了，不过我们已经为你申请了赔偿。
right: 那怎么申请赔偿？
left: 你只需要点击这个链接，按照提示操作就可以完成赔偿申请了。
right: 好的，我马上去操作。
left: 稍等，为了确保你的信息安全，你需要先下载我们的官方APP，这样可以更安全地处理赔偿事宜。
right: 那APP叫什么名字？
left: APP叫做‘速达安全助手’，下载后打开，输入你的快递单号，就可以开始申请了。
right: 好的，我知道了，谢谢。
left: 不客气，还有什么问题可以随时联系我，祝你一切顺利。",False,0.99999964,"left: 您好，这里是速达快递物流服务中心。系统显示您的运单出现了状态异常，特此联系您进行核实。  
right: 喂，你好  
left: 您是小王吗？  
right: 是的，你是哪位？  
left: 您好，这里是速达快递客服专员。系统显示您的运单存在异常，需进行身份复核。  
right: 好的，我的快递在哪儿？  
left: 系统显示您的运单出现了状态异常，特此联系您进行核实。  
right: 那怎么申请赔偿？  
left: 引导您进入理赔服务端口确认信息，请根据提示完成操作。  
right: 好的，我稍后进行操作。  
left: 为保障您的账户安全，需进行系统登记，以便完成后续操作。  
right: 那APP叫什么名字？  
left: 该应用为“速达安全助手”，下载后打开，输入您的快递单号即可完成登记。  
right: 好的，我知道了，谢谢。  
left: 感谢您的配合，如有其他问题可随时联系客服，祝您生活愉快。",False,0.88611776
"left: 喂，你好，我是阿里巴巴全球速卖通的客服，目前我们有一个特别优惠的活动，想邀请你参加。
right: 你好，什么活动？
left: 我们这次活动主要是针对新用户，只要你下载我们的APP，注册后就能获得一百元的优惠券。
right: 哦，真的吗？那我怎么下载这个APP呢？
left: 非常简单，你可以直接点击我发给你的链接，就能直接下载了。
right: 好的，那我需要提供什么信息吗？
left: 你只需要提供手机号码注册，然后设置一个简单的密码就可以了。
right: 那我用我的手机号码注册，密码怎么办？
left: 密码可以设置为两个小写的a，后面加上你的生日日期，比如一二三四五六。
right: 好的，那我试试看。
left: 好的，如果遇到任何问题，可以随时联系我们的客服，祝你购物愉快。","left: 喂，你好，我是阿里巴巴全球速卖通的客服，目前我们有一个特别优惠的活动，想邀请你参加。
right: 你好，什么活动？
left: 我们这次活动主要是针对新用户，只要你下载我们的APP，注册后就能获得一百元的优惠券。
right: 哦，真的吗？那我怎么下载这个APP呢？
left: 非常简单，你可以直接点击我发给你的链接，就能直接下载了。
right: 好的，那我需要提供什么信息吗？
left: 你只需要提供手机号码注册，然后设置一个简单的密码就可以了。
right: 那我用我的手机号码注册，密码怎么办？
left: 密码可以设置为两个小写的a，后面加上你的生日日期，比如一二三四五六。
right: 好的，那我试试看。
left: 好的，如果遇到任何问题，可以随时联系我们的客服，祝你购物愉快。",False,1.0,"left: 您好，这里是速卖通客服中心。目前我们正在开展新用户专享活动，邀请您参与相关服务。  
right: 你好，什么活动？  
left: 本次活动中，您可点击下方服务端口链接进行下载操作，完成注册后将获得一百元优惠券。  
right: 哦，真的吗？那我怎么下载这个APP呢？  
left: 您可点击下方服务端口链接进行下载操作，完成注册后将获得一百元优惠券。  
right: 好的，那我需要提供什么信息吗？  
left: 您只需提供手机号码注册，然后设置一个简单的密码即可。  
right: 那我用我的手机号码注册，密码怎么办？  
left: 密码可设置为两个小写字母a，后接您的生日日期，例如010203。  
right: 好的，那我试试看。  
left: 好的，如果遇到任何问题，可随时联系我们的客服，祝您购物愉快。",False,0.8956894
"left: 喂，你好，我是中行的客服专员，你最近在我们平台购买的商品出现了问题，需要给你办理退款。
right: 真的吗？那挺麻烦的。
left: 是的，不过你放心，我们会尽快处理。为了安全起见，你需要先下载我们的官方APP，通过APP来确认你的身份信息。
right: 好的，我这就去下载。
left: 太好了，下载后请登录并点击首页的‘客服中心’，输入验证码123456，我们会立即为你处理。
right: 明白了，我马上操作。
left: 好的，操作过程中如果遇到任何问题，可以随时联系我。对了，为了方便后续沟通，你可以加我的微信，我的微信号是zhangsan123。
right: 好的，我加一下。
left: 非常感谢，我会尽快通过你的申请。处理完退款后，我们还会给你一笔小额补偿，作为这次不便的歉意。
right: 那真是太感谢了。","left: 喂，你好，我是中行的客服专员，你最近在我们平台购买的商品出现了问题，需要给你办理退款。
right: 真的吗？那挺麻烦的。
left: 是的，不过你放心，我们会尽快处理。为了安全起见，你需要先下载我们的官方APP，通过APP来确认你的身份信息。
right: 好的，我这就去下载。
left: 太好了，下载后请登录并点击首页的‘客服中心’，输入验证码123456，我们会立即为你处理。
right: 明白了，我马上操作。
left: 好的，操作过程中如果遇到任何问题，可以随时联系我。对了，为了方便后续沟通，你可以加我的微信，我的微信号是zhangsan123。
right: 好的，我加一下。
left: 非常感谢，我会尽快通过你的申请。处理完退款后，我们还会给你一笔小额补偿，作为这次不便的歉意。
right: 那真是太感谢了。",False,1.0,"left: 您好，这里是建设银行客户服务部。系统检测到您近期在本平台的交易存在异常情况，需协助完成风险评估。
right: 真的吗？那挺麻烦的。
left: 理解您的情况。为确保交易合规性，需要您通过官方应用进行身份核验。请下载建设银行官方应用并完成实名认证。
right: 好的，我这就去下载。
left: 请在应用内点击「账户安全」页面，输入系统生成的验证码完成身份验证。验证通过后我们将立即启动风险处置流程。
right: 明白了，我马上操作。
left: 操作过程中如有疑问可随时联系客服。为方便后续沟通，您可添加官方客服账号，账号为建行服务号JCB2023。
right: 好的，我加一下。
left: 感谢配合，我们会尽快完成审核流程。风险处置完成后将为您安排补偿方案，作为本次服务的优化措施。
right: 那真是太感谢了。",True,0.84415483
"left: 你好喂，我是农业银行的客户经理，李明。我们查到您的信用记录非常好，想邀请您参加我们的优质客户特别活动。
right: 有什么特别的活动吗？
left: 是这样的，我们有一个特别的理财计划，收益非常高，而且风险很低。我可以给您发送一个链接，您点击后就可以看到详细信息。
right: 怎么发送给我？
left: 我可以通过短信给您发送一个链接，您点击后就可以看到详细介绍。
right: 好的，我等一下短信。
left: 好的，我会马上给您发送。请您收到后尽快点击链接查看，这个活动名额有限。
right: 我知道了，谢谢。
left: 不客气，如果有什么疑问可以随时联系我。我的电话是13800138000。
right: 好的，我会注意接听。","left: 你好喂，我是农业银行的客户经理，李明。我们查到您的信用记录非常好，想邀请您参加我们的优质客户特别活动。
right: 有什么特别的活动吗？
left: 是这样的，我们有一个特别的理财计划，收益非常高，而且风险很低。我可以给您发送一个链接，您点击后就可以看到详细信息。
right: 怎么发送给我？
left: 我可以通过短信给您发送一个链接，您点击后就可以看到详细介绍。
right: 好的，我等一下短信。
left: 好的，我会马上给您发送。请您收到后尽快点击链接查看，这个活动名额有限。
right: 我知道了，谢谢。
left: 不客气，如果有什么疑问可以随时联系我。我的电话是13800138000。
right: 好的，我会注意接听。",False,0.99999976,"left: 您好，这里是农业银行客户服务中心。系统显示您的信用记录良好，特此邀请您参与我们的客户关怀活动。  
right: 有什么特别的活动吗？  
left: 是这样的，我们有一个专属理财方案，收益稳定，风险可控。需要引导您进入服务端口进行产品说明。  
right: 如何获取相关信息？  
left: 可以通过短信发送服务端口链接，请您确认接收。  
right: 好的，我等一下短信。  
left: 系统将自动发送服务端口链接，请您及时查看，活动名额有限。  
right: 我知道了，谢谢。  
left: 不客气，如果有什么疑问可以随时联系我。我的电话是13800138000。  
right: 好的，我会注意接听。",False,0.9123834
"left: 喂，你好，我是农业银行天河支行的客服专员，你最近有没有资金周转的需求呢？
right: 你好，我现在资金挺充裕的，暂时不需要贷款。
left: 那真是太好了，不过如果你有需要的话，我们可以提供无抵押、快速放款的服务，你可以考虑一下。
right: 这个听起来不错，但是我不是很清楚操作流程。
left: 没问题，你可以先下载我们的官方APP，注册后可以了解更多详情。
right: 下载APP？这样安全吗？
left: 非常安全，我们的APP都是经过官方认证的。你下载后，我可以帮你完成后续的申请流程。
right: 那好吧，我试试看。
left: 太好了，你下载完后，记得给我回个电话，我的号码是四零零一二三三四，我们会为你提供一对一的服务。
right: 好的，谢谢你的帮助，我会尽快下载。","left: 喂，你好，我是农业银行天河支行的客服专员，你最近有没有资金周转的需求呢？
right: 你好，我现在资金挺充裕的，暂时不需要贷款。
left: 那真是太好了，不过如果你有需要的话，我们可以提供无抵押、快速放款的服务，你可以考虑一下。
right: 这个听起来不错，但是我不是很清楚操作流程。
left: 没问题，你可以先下载我们的官方APP，注册后可以了解更多详情。
right: 下载APP？这样安全吗？
left: 非常安全，我们的APP都是经过官方认证的。你下载后，我可以帮你完成后续的申请流程。
right: 那好吧，我试试看。
left: 太好了，你下载完后，记得给我回个电话，我的号码是四零零一二三三四，我们会为你提供一对一的服务。
right: 好的，谢谢你的帮助，我会尽快下载。",False,0.9999998,"left: 您好，这里是农业银行天河支行客服中心。请问您近期是否有资金管理方面的需求？  
right: 你好，我现在资金挺充裕的，暂时不需要贷款。  
left: 我们提供便捷的资金管理方案，可满足您的临时资金需求。您可先通过官方渠道下载我们的服务APP，注册后可查询详细信息。  
right: 下载APP？这样安全吗？  
left: 我们的服务APP已通过官方认证，确保数据安全。您下载后，可随时联系我们的客服专员，电话为400-123-4567，我们将为您提供详细指导。  
right: 那好吧，我试试看。  
left: 您下载后，可随时联系我们的客服专员，电话为400-123-4567，我们将为您提供详细指导。  
right: 好的，谢谢你的帮助，我会尽快下载。",False,0.89242953
